Geography - Class-72 | Indian Geo | Important Passes: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6374399647112/6374399647112.m3u8
Geography - Class-73 | Indian Geo | Important Passes: https://www.youtube.com/embed/Pl1j7LShHR0
Geography - Class-74 | Indian Geo | Important Passes: https://www.youtube.com/embed/1gbP-1H3VnY
Geography - Class-75 | Indian Geo | Important Passes: https://www.youtube.com/embed/e1T72m2Ujh8
Geography - Class-76 | Indian Geo | Important Passes: https://www.youtube.com/embed/pfMTwK181sI
Geography - Class-77 | Indian Geo | Important Passes: https://www.youtube.com/embed/e7-qzg04WgY
Geography - Class-78 | Indian Geo | Important Passes: https://www.youtube.com/embed/TBPVP0N6b28
Geography - Class-79 | Indian Geo | Important Passes: https://www.youtube.com/embed/Jtv2QN33yOo
Geography - Class-80 | Indian Geo | Important Passes: https://www.youtube.com/embed/cQhpPNvyyqU
Geography - Class-81 | Indian Geo | Important Passes: https://www.youtube.com/embed/KvN2YXUaLDk
Geography - Class-82 | Indian Geo | Important Passes: https://www.youtube.com/embed/NY-84jYzeig
Polity - Pol | Class-01 | Intro: https://www.youtube.com/embed/u9o_tvFzZ2Q
Polity - Pol | Class-02 | Formation of Consitutent Assembly: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6361724179112/6361724179112.m3u8
Polity - Pol | Class-03 | Working of CA: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6361778793112/6361778793112.m3u8
Polity - Pol | Class-04 | Working of CA: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6361826333112/6361826333112.m3u8
Polity - Pol | Class-05 | Salient Features of Constitution: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6361866536112/6361866536112.m3u8
Polity - Class-06 | Pol | Preamble: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6361908790112/6361908790112.m3u8
Polity - Class-07 | Pol | Schedules of Constitution: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6361954963112/6361954963112.m3u8
Polity - Class-08 | Pol | MCQs Practice: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362011791112/6362011791112.m3u8
Polity - Class-09 | Pol | Part 1- Union & its territory: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362050756112/6362050756112.m3u8
Polity - Class-10 | Pol | Part 1- Union & its territory: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6362101846112/6362101846112.m3u8
